title,url,date,tag,K-E,description,company,publisher,thumb,screenshot,platform
HITMAN World of Assassination,https://store.steampowered.com/app/1659040/HITMAN_World_of_Assassination/?snr=1_7_7_7000_150_6,2022년 1월 21일,"잠입,암살,액션,싱글 플레이어,샌드박스",HITMAN World of Assassination,"궁극의 암살자 세계로 여러분을 초대합니다. 'HITMAN 암살자의 세계'는 메인 캠페인, 계약 모드, 승급, 미스터리 목표 아케이드, 로그라이크에서 모티브를 얻은 HITMAN: Freelancer 및 HITMAN, HITMAN 2, HITMAN 3의 가장 뛰어난 장점만을 녹여냈습니다.",IO Interactive A/S,IO Interactive A/S,https://steamcdn-a.akamaihd.net/steam/apps/1659040/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1659040/ss_f3a815f62dea7af43eebff863b49ded1bcf8098e.116x65.jpg?t=1713343444,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1659040/ss_271349780bd2aab343e3f705ba5244a0956314f5.116x65.jpg?t=1713343444,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1659040/ss_691a534e333e33a4d6b994c9d63be26c83a687d7.116x65.jpg?t=1713343444,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1659040/ss_33965f74f31503257ea4e4af3d31b10faedd5250.116x65.jpg?t=1713343444,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1659040/ss_599eba3c826e792a0260a8748e1e32d1ee4e13ec.116x65.jpg?t=1713343444,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1659040/ss_0d982ccc2b91093d71a7ae607e7ae0542651bc79.116x65.jpg?t=1713343444,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1659040/ss_97513d1ab3bb33c832f29b879067a2c2ebd4d238.116x65.jpg?t=1713343444",steam
Super Bunny Man,https://store.steampowered.com/app/673750/Super_Bunny_Man/?snr=1_7_7_7000_150_6,2023년 5월 17일,"PvP,멀티플레이어,유머,협동,파티 게임,밈",Super Bunny Man,"토끼 코스튬을 입은 사람이 나오는 물리 엔진 기반 협동 플랫폼 게임! 친구 한 명 혹은 세 명(로컬 혹은 온라인)과 협력해 레벨을 깨고, 숨겨진 당근을 찾고, 시간과의 싸움을 하세요. 토끼의 광기를 체험해 보세요. 당근의 혼돈을 받아들이세요. Super Bunny Man이 되세요.",Catobyte,Catobyte Ltd,https://steamcdn-a.akamaihd.net/steam/apps/673750/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673750/ss_579ce20bccd2cb8e2958f1c3a23f143ae3ecfe0c.116x65.jpg?t=1712604306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673750/ss_ef277971a83a7257c41c0e6aa279f018380f74f7.116x65.jpg?t=1712604306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673750/ss_1e53228bd01f123326d40dce3685835ad124a3b7.116x65.jpg?t=1712604306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673750/ss_cc0d16eba46ee1384c8ea34da08d75e3453dda2d.116x65.jpg?t=1712604306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673750/ss_bdc2a4e743184320fef1484e994d84a7dc76149e.116x65.jpg?t=1712604306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673750/ss_d996605647cafc533e2b98679688b0c9d7678f0b.116x65.jpg?t=1712604306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673750/ss_40bd39ded141a21bea36332b68fb6761faf356c1.116x65.jpg?t=1712604306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673750/ss_45f407b0ed70ecb1ddc4d7b232c81560292d5564.116x65.jpg?t=1712604306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673750/ss_c5c4f9978932f47cabdb2865567a27bb57b1f6ff.116x65.jpg?t=1712604306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/673750/ss_11e623a90952ba270e018c645cb616cf6276317b.116x65.jpg?t=1712604306",steam
페르소나3 리로드,https://store.steampowered.com/app/2161700/3/?snr=1_7_7_7000_150_6,2024년 2월 2일,"JRPG,RPG,파티 기반 RPG,애니메이션,전략","Persona 3 Reload,페르소나3 리로드",『페르소나3』가 새롭게 단장하여 현행 최신 하드웨어에서 다시 태어난다!,ATLUS,SEGA,https://steamcdn-a.akamaihd.net/steam/apps/2161700/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2161700/ss_7017244fb8319ba927a0ef414959b95a6164356f.116x65.jpg?t=1715267937,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2161700/ss_41a721490c40fb836b073190683d48d53cf1e8d8.116x65.jpg?t=1715267937,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2161700/ss_fb7d089e946c7bc13b33b9a41ec4cbf5ae0280e6.116x65.jpg?t=1715267937,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2161700/ss_12a84c434b3beaee631b0ff285b4ddf4c9acbe96.116x65.jpg?t=1715267937,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2161700/ss_b60f1f21f4794f0ba90bbc55c41aab4637b4103a.116x65.jpg?t=1715267937,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2161700/ss_91834ffaab1a63aa98a8ec907ffe3faff04ab60c.116x65.jpg?t=1715267937,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2161700/ss_b5b93089686b45d6abee593d025c91389c7dc20e.116x65.jpg?t=1715267937,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2161700/ss_db4f8cd372edadb46f6b4de505ed44793d62f82c.116x65.jpg?t=1715267937,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2161700/ss_6eb13282757801e1ea826bb60de82cd07ef33e1c.116x65.jpg?t=1715267937,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2161700/ss_353260b43575a8c1d03032ce877662f969eff099.116x65.jpg?t=1715267937",steam
Myth of Empires,https://store.steampowered.com/app/1371580/Myth_of_Empires/?snr=1_7_7_7000_150_6,2024년 2월 22일,"건설,오픈 월드 생존 제작,샌드박스,오픈 월드",Myth of Empires,"'미스 오브 엠파이어'는 높은 자유도의 냉병기 전쟁 테마 멀티플레이 샌드박스 게임입니다. 플레이어는 끊임없이 전쟁이 일어나는 세계에서 생존, 건설, 관리 및 창조 등의 푸짐한 콘텐츠를 체험할 수 있습니다. 또한, 거대한 세계에서 플레이어는 전략가로서의 재능을 발휘하여 세력을 이끌고 성과 영지를 점령하여 자신만의 제국을 이룩할 수 있습니다!",Angela Game,Imperium Interactive Entertainment,https://steamcdn-a.akamaihd.net/steam/apps/1371580/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_ae7a610679e2947e71a7ffc2c6cc856d871bafbb.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_6f75f1f1814e04292b3bfe880190b7085e57c97d.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_1a7bade3511a87e1d9b4f579f969f8bd1638007f.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_fb881b16a261d677578ea8b306214a527a00be03.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_e1ae839a1d7a078c9c6676af03dae00bac2dd307.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_66430329abe50b19901115ecd0fa164e15f498c9.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_04aa4636a41b2998cd505b590a0de662cbb3bc3b.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_25c72f60ed4fd11a25f8dec183f7c76dd7c93bd2.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_13ac59ed7ab2ecbf69d52f9728c7f8773bf128f8.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_d32ae2f3e1d44f309d1dad253b9f177f53d67dc9.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_62bc926f32da7982cbc0e8892b88b016b78d6900.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_10e6fd6bc5748e22873394d22e0dfdf3f8c84109.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_d5ac0808f2e91ff8e11eb7b81793545fefe71bd0.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_868f26455b63235494bef9d1780b58afbe8d9b4a.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_bc3054d05e48ad5fad88c13dfc5670f78f2e44d9.116x65.jpg?t=1711755798,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1371580/ss_fe06924db8a3837105e239c28c36e11d82a27287.116x65.jpg?t=1711755798",steam
Hollow Knight,https://store.steampowered.com/app/367520/Hollow_Knight/?snr=1_7_7_7000_150_6,2017년 2월 25일,"메트로배니아,소울라이크,플랫폼,고난이도",Hollow Knight,할로우 나이트에서 자신만의 길을 구축하세요! 크게 파괴된 곤충과 영웅의 왕국을 통한 서사 액션 어드벤처입니다. 손으로 그린 클래식 2D 스타일로 구불구불한 동굴을 탐험하고 오염된 생물과 싸우고 이상한 곤충들과 친구가 되어 보세요.,Team Cherry,Team Cherry,https://steamcdn-a.akamaihd.net/steam/apps/367520/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_5384f9f8b96a0b9934b2bc35a4058376211636d2.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_d5b6edd94e77ba6db31c44d8a3c09d807ab27751.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_a81e4231cc8d55f58b51a4a938898af46503cae5.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_62e10cf506d461e11e050457b08aa0e2a1c078d0.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_bd76bd88bc5334ee56ae3d5f0d8dec4455e8e3b8.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_33a645903d6dd9beec39f272a3daf57174a6cc26.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_47f3523dbea462aff2ca4bc9f605faaf80a792b2.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_92c7e8f34c00bdb455070ecdd5b746f0d2f6d808.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_946e83ea924eff46a93e14e841bdbb1accd1654c.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_b17396ebcbef87cd016c433927bb2dd7edb17660.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_f1f594e1057a124d289a5905b53b5a0f820982c0.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_2329fe632e788efd9ece9dcfc98c0ea723ac0d04.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_fbe692d154a3d9dd627966d5445c4647ae0f71ce.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_1552562bd322fb94fd8c5a6595e75f1e6808db41.116x65.jpg?t=1695270428,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/ss_5478c9192023a3b3e438c030caa0809b62523587.116x65.jpg?t=1695270428",steam
Sherlock Holmes The Awakened,https://store.steampowered.com/app/1949030/Sherlock_Holmes_The_Awakened/?snr=1_7_7_7000_150_6,2023년 4월 11일,"러브크래프트,수사관,풍부한 스토리,오픈 월드",Sherlock Holmes The Awakened,"최신 그래픽과 게임 플레이로 완전히 재탄생한, 신경이 곤두서는 러브크래프트 풍의 모험을 경험해 보세요. 셜록 홈즈가 된 플레이어는 유럽과 미국의 수상한 연쇄 실종 사건을 수사하면서 끔찍한 크툴루 신화의 중심에 서게 됩니다.",Frogwares,Frogwares,https://steamcdn-a.akamaihd.net/steam/apps/1949030/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_80f84e7b093dd5a62ef020b8fe8449cd95795ace.116x65.jpg?t=1716313306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_72f3ab1e5e46f7afc729392b367c98abcd6a5f30.116x65.jpg?t=1716313306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_57b8dcd41aa4161b71ad4c0a9edfad6762b3801f.116x65.jpg?t=1716313306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_79b87154e79a2784086a405d97c82f80cabd3f93.116x65.jpg?t=1716313306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_cc5292d07ad9485b6b488a53fc535fba080d0265.116x65.jpg?t=1716313306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_5be078c206b1ed1533dadd5597dc77d8b4f8be21.116x65.jpg?t=1716313306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_0fdc2e64976f87423994aff9800b34657001951e.116x65.jpg?t=1716313306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_5e37f73843f6c777d3b52569b4c583ded83f66a9.116x65.jpg?t=1716313306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_73d4c51b126a758b9729b864143f579257116cd4.116x65.jpg?t=1716313306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_75b8c88e6086d10989648b73ef0d9d56e69dd41c.116x65.jpg?t=1716313306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_eacef10d3bb953035c5c0fbd0de4f191385c068c.116x65.jpg?t=1716313306,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1949030/ss_360d3d1576971a6e405b133403aa402db39c0573.116x65.jpg?t=1716313306",steam
Homeworld 3,https://store.steampowered.com/app/1840080/Homeworld_3/?snr=1_7_7_7000_150_6,2024년 5월 14일,"우주,실시간 전략,전략,공상과학,전술,협동",Homeworld 3,"전략적이고, 아름답고, 아주 독특하며, 여러 GOTY를 수상한 SF RTS가 Homeworld 3로 돌아옵니다. 많은 상을 받은 은하계 규모의 스토리가 펼쳐지는 동안, 완전한 3D로 구현된 눈부신 우주에서 함대를 통솔해 적 함대를 격파하십시오.",Blackbird Interactive,Gearbox Publishing,https://steamcdn-a.akamaihd.net/steam/apps/1840080/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1840080/ss_238dea5401a5a195dc36c87bb26f435ec4faa67e.116x65.jpg?t=1715643382,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1840080/ss_7503e27e878fef4f562361ea1c3a165bff8f66aa.116x65.jpg?t=1715643382,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1840080/ss_6c76d1c9317ef6e7c6e13dde8a8b299094c0891b.116x65.jpg?t=1715643382,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1840080/ss_f5affdf60373c6ed82c6fed348a9ad0d6b63d1db.116x65.jpg?t=1715643382,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1840080/ss_fad4d5a431435d782309fa8f51f100cb24949c0d.116x65.jpg?t=1715643382,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1840080/ss_d465023a26a32f2ddb6a1a98d7c8aacbd94e1c08.116x65.jpg?t=1715643382,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1840080/ss_f2cb6d276536a5f4b588295c9954679900d3b621.116x65.jpg?t=1715643382,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1840080/ss_a49f0c349d17b7e16d1aaa2366cfd0f89a2b71be.116x65.jpg?t=1715643382,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1840080/ss_a34e244880e4ea057cbfefa856bc3dbdec8f1c0c.116x65.jpg?t=1715643382,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1840080/ss_84fc7d863b5a1c6ad47e232f6611ddd6fb660080.116x65.jpg?t=1715643382",steam
Yu-Gi-Oh! Duel Links,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/?snr=1_7_7_7000_150_6,2017년 11월 17일,"무료 플레이,카드 게임,애니메이션,전략,턴제",Yu-Gi-Oh! Duel Links,"""Yu-Gi-Oh! Duel Links""에서 전 세계 듀얼리스트와 대결하세요! 디멘션을 넘어 모든 듀얼리스트를 연결하는 세계로 들어오세요. 듀얼 월드에서는 그 어느 곳이든 치열한 듀얼이 펼쳐지는 듀얼 필드로 변할 수 있습니다!",KONAMI,KONAMI,https://steamcdn-a.akamaihd.net/steam/apps/601510/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/601510/ss_2a14a1120c6dffcfe6f6ebe97e82ac4da0d48306.116x65.jpg?t=1716512796,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/601510/ss_da3f24d2bc113d9717e4c3a788bb0522ecbd4651.116x65.jpg?t=1716512796,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/601510/ss_ab898e6cce940329e0e17cf6a6a4878f9507055a.116x65.jpg?t=1716512796,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/601510/ss_f85b93e9ea2b7e32eb63f11c3838cb437f0af7be.116x65.jpg?t=1716512796,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/601510/ss_fd0053b5b0dafb603b439feac01fb67280403695.116x65.jpg?t=1716512796,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/601510/ss_2b1939237c35076667defa2df092d04dbb3a1917.116x65.jpg?t=1716512796,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/601510/ss_7d4a1a7d51dd76580659e8096b64f3337756cefe.116x65.jpg?t=1716512796",steam
Evil West,https://store.steampowered.com/app/1065310/Evil_West/?snr=1_7_7_7000_150_6,2022년 11월 22일,"비뎀업,웨스턴,액션 어드벤처,협동,악령",Evil West,어둠의 위협이 옛 서부를 잠식해갑니다. 혼자 또는 협동 모드에서 피에 굶주린 괴물들과 멋지고 화끈하게 싸우십시오. 번개가 깃든 건틀렛으로 뱀파이어 군대를 쳐부수고 거친 서부의 슈퍼히어로가 되십시오.,Flying Wild Hog,Focus Entertainment,https://steamcdn-a.akamaihd.net/steam/apps/1065310/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_1b789d8ba2b3d248349ab3d1fef87b5e680a7e55.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_feae13d5c4d396ab932842ea24159689b1c3fc85.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_e912a2574a3df8bec9b182a2f9a2071122d2a52a.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_0aca93e30a2a978e96bc8993610ddd6ea6e8a337.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_addaa78e128a87fe1a22f3320b4e9d79e6d5c6d3.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_c7a46c0fb9be02377b4e136280a01b3b86d77488.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_840063c0c989551a61849d996dbcc03198d6ed73.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_5909a0ffbd8def5a1fe28fafb3272e6dd814c1bd.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_80358ce4feeb4cd7d438b002c02b97a65a23ff0a.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_fb3f5941789dd2c7125de5164ef46ae4661144bc.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_64f402d7ad97a734bf9f0225096bdef59d12d7dd.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_e4738c0e47b6d75e1c05b591f1ace76b48efb106.116x65.jpg?t=1695820309,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1065310/ss_2feb8866df08a900ef15c5f941279239cc103b54.116x65.jpg?t=1695820309",steam
DREDGE,https://store.steampowered.com/app/1562430/DREDGE/?snr=1_7_7_7000_150_6,2023년 3월 31일,"탐험,낚시,러브크래프트,어드벤처,오픈 월드",DREDGE,"DREDGE는 바닷속 사악한 암류와 함께하는 싱글 플레이 낚시 어드벤처입니다. 어획물을 판매하고, 배를 업그레이드하고, 심해 속에서 오랫동안 묻혀 있던 비밀을 건져 올리세요. 그리고 수수께끼의 군도를 탐험하고 어떤 것들은 왜 잊힌 채로 내버려 두는 게 최선인지 알아보세요.",Black Salt Games,Team17,https://steamcdn-a.akamaihd.net/steam/apps/1562430/library_600x900_2x.jpg,"https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_70f88014423ed93eaa111c0d0daca2c500f76908.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_d4d4b14c5cd071307e27b4e9737f23f28b096248.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_9529104cde1af2ffbb715cab42bbb3012fb9b7d8.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_b60f2ff50997c5da29fcd783770053263aac26c0.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_e964290b6a6a6941e299ba5be00fd3d98aec6d06.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_87d0d9ba6e7851a07778ac696d56af8e0ab71a21.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_fb81a15978913f50e17d8f59346ae7688b405ab2.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_d98d0c25d9cdb72f4d8e78818a49a34ace974d47.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_00ce76c4796919378af70f8b64897829e55745ba.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_6e4d73bdbea2f723b66aabf92a6bf19bdd35e9d1.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_7234cd6fca2969ac13824a22f771c9d572802958.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_1ec12a463daaad36d8675cb193f14a33a5025441.116x65.jpg?t=1713453283,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1562430/ss_1d4854c6dff662b68b4218cdfaa4ee7ec9251da9.116x65.jpg?t=1713453283",steam
